"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Price, David","456034","94.1","93.7","87.5",,"85.5","80",,,,
"Shields, James","448306","93.2","92.6","87.3",,"85.8","80.1",,,,
"Scherzer, Max","453286","93.4",,"91.7","85.5","84.4","77.8",,,,
"Cueto, Johnny","456501","93.7","93.6","89","83.9","84.7","75.1",,,,
"Lester, Jon","452657","92.4","91.4","88.1",,"85.7","75.5",,,,
"Kluber, Corey","446372","94.3","93.8",,"89.3","85.4","83.1",,,,
"Burnett, A.J.","150359","92.3","92.2",,,"86.7","82.2",,,,
"Lynn, Lance","458681","93.5","91.9",,"88","85.6","80",,,,
"Hernández, Félix","433587","93.2","93",,"85","89.8","80.8",,,,
"Tillman, Chris","501957","91.4",,"90.9","85.9","83.1","75.7",,,,
"Verlander, Justin","434378","92.8","94.4",,"86.1","84","79.5",,,,
"Kennedy, Ian","453178","92.3","93.1","85.2","85.4","84.1","77.9",,,,
"Harang, Aaron","421685","89.3","89.8",,"81.4","83.9","74.4",,,,
"Bumgarner, Madison","518516","92.7","92.9","88.8",,"84.3","77",,,,
"Weaver, Jered","450308","87.3","86.4","86.8","79.9","78.1","69.9",,,,
"Samardzija, Jeff","502188","95.2","95.1","92.9","86.4",,,"85.9",,,
"Quintana, Jose","500779","92","92.3",,"87.2","86.1","80.9",,,,
"Dickey, R.A.","285079","82.4",,,,,,,"77",,
"Wheeler, Zack","554430","95.9","95.3","89.7","46.9","88.7","79.2",,,,
"Danks, John","433579","89.1","89.5","84.8",,"80.4","74.1",,,,
"Gray, Sonny","543243","93.8","93.6","91","86.2","87","81.7",,,,
"Strasburg, Stephen","544931","95.4","95.5",,"86.8","88.7","80.5",,,,
"Teheran, Julio","527054","91.9","89.1",,"81.8","81.8","73.7",,,,
"Wainwright, Adam","425794","91.1","90.7","87",,"83.3","74.9",,,,
"Peavy, Jake","408241","90.5","90.5","87","82.8","82.4","80.2","85.9",,,
"Gallardo, Yovani","451596","92","92.1","92.4","87.9","86.4","79.6",,,,
"Leake, Mike","502190","91.2","91.2","90.2","81.8","84.9","80.1",,,,
"Guthrie, Jeremy","425386","92.7","92.7","91","85.7","86.5","75.7",,,,
"Greinke, Zack","425844","92.4","92.5","86.3","85.5","87.7","72.5",,,,
"Eovaldi, Nathan","543135","96.3","96.5",,"86.8","87.5","76.4","89.7",,,
"Peralta, Wily","503449","96.3","96.6",,"86.2","85.4",,,,,
"Archer, Chris","502042","95.1","95.3",,"86.7","86.5",,,,,
"Miley, Wade","489119","91.9","91.5",,"85.6","83.2","78.1",,,,
"Hamels, Cole","430935","92.7","93.2","89.2",,"84.8","78.8",,,,
"Ross, Tyson","475115","94.3","93.5","94.1","87","86.9",,,,,
"Kuroda, Hiroki","493133","91.4","91.7","89.6","83.3",,"76.5","86.7",,,
"Kendrick, Kyle","452718",,"90.3","87.7","78","81.9",,,,,
"Wilson, C.J.","450351","91.2","91.5","88.2","82.9","85.7","77",,"80.3",,
"Buehrle, Mark","279824","84.4","84.5","80.8",,"78.9","72",,,,
"Haren, Dan","429717","88.2","88.2","85.2",,,"78","82.9",,,
"Lackey, John","407793","92.3","92","84.4",,"84.1","79",,,,
"De La Rosa, Jorge","407822","92.9",,"87.7","89.1",,"74.5","83.6",,,
"Vogelsong, Ryan","285064","91.1","90.7",,"88.4","84.1","77.5",,,,
"Hutchison, Drew","571800","92.8","92.6",,"85.1","86",,,,,
"Wood, Travis","475243","89.1","88.7","85.9","79.7","79.8","72.2",,,,
"Hughes, Phil","461833","92.7","92.5","89",,"84.6","76.7",,,,
"Porcello, Rick","519144","91.3","90.8",,"85.9","82.3","77.7",,,,
"Odorizzi, Jake","543606","90.8","91.1","86.3","82.2",,"69.7","84.3",,,
"McCarthy, Brandon","435221","94.2","93.3","91.7",,,"81.9","85.6",,,
"Keuchel, Dallas","572971","90.3","90.3","86.4","80.2","79.8",,,,,
"Lohse, Kyle","346798","89.7","90",,"84.3","79.7","75",,,,
"Colon, Bartolo","112526","91.3","88.3",,"82.9","82",,,,,
"Vargas, Jason","450306","87.9","87.6","85.8",,"81","75.2",,,,
"Roark, Tanner","543699","91.6","91.7",,"83.8","82.6","73.9",,,,
"Kazmir, Scott","431148","92.8","91.6","87.2","82.4","77.6","76.6",,,,
"Ventura, Yordano","570649","97.6","97.3","94.8",,"88.1","83.4",,,,
"Santana, Ervin","429722","92.9","92",,"83.9","84.9",,,,,
"Chen, Wei-Yin","612672","92.5","92.1",,"82.9","84.1","74.2",,,,
"Simon, Alfredo","430580","94.1","94.7","88.8",,,"77.8","86.1",,,
"Volquez, Edinson","450172","93.8","93.7",,,"85.1","80.3",,,,
"Feldman, Scott","444857","88.9","89.5","87.6",,"85.3","75.2",,,,
"Cosart, Jarred","543054","94.2","94.6","94.1",,"83.6","79.2",,,,
"Koehler, Tom","543408","93.4","93.7",,"86.9","85.9","79.5",,,,
"Zimmermann, Jordan","519455","94.5","94.7",,"88","87.3","79.5",,,,
"Stults, Eric","445590","88.6","87.4",,"80.7","80.1","68.2",,,,
"Miller, Shelby","571946","94.1","93.9","87.6",,"86.6","77.5",,,,
"Gibson, Kyle","502043","92.1","91.8",,"84.9","84","80.4",,,,
"Niese, Jonathon","477003","89.1","88.9","87.3","86.4","82.6","74.1",,,,
"Lewis, Colby","407890","89.4","88.7",,"83.5","84.2","77.3",,,,
"Hammel, Jason","434628","93","92.8",,"83.2","85.9","76.6",,,,
"Hudson, Tim","218596","89.8","89.5","84.1",,,"76.1","81.5",,,
"Sale, Chris","519242","91.9","94.6",,"80.3","85.4",,,,,
"Noesí, Hector","456051","93.6","93.6",,"88.6","87.5","81",,,,
"Norris, Bud","502032","94","94.1","94.1","87.3","86.2",,,,,
"Buchholz, Clay","453329","92.3","91.8","88.2",,"81.9","77.9","86",,,
"Hernandez, Roberto","433584","90.8","90.9",,"84.4","83.9",,,,,
"Happ, J.A.","457918","93.3","93",,"84.1","86","78.3",,,,
"Young, Chris","432934","85.8",,,"78.5","78.9","69.9",,,,
"Collmenter, Josh","518567","86.3",,"86.5",,"79","72.7",,,,
"Liriano, Francisco","434538","93.2","93.2",,"85.9","86.2","70.7",,,,
"Wood, Alex","622072",,"90.4",,,"83","79.7",,,,
"Lincecum, Tim","453311","90.2","90.1",,"80.9","83.1","75.5",,,,
"Nolasco, Ricky","445060","90.8","90.4","90.5","82.1",,"74.3","80.2",,,
"Gonzalez, Gio","461829","92.7","92.3",,,"83.5","78",,,,
"Kershaw, Clayton","477132","93.7",,,"88.1","88.9","74.5",,,,
"Richards, Garrett","572070","97.2","96.7","96.6","87.4","89.6","79.4",,,,
"Elías, Roenis","606273","92.6","92.5",,,"86.3","79.4",,,,
"Cobb, Alex","502171","92.2","92.5",,,"87.5","81.2",,,,
"Smyly, Drew","592767",,"90.4","85",,"80.2","78",,,,
"Nuño, Vidal","573064","89.9","88.7",,"82.7","82.6","76.5",,,,
"Bauer, Trevor","545333","94.6","93.7","86.4","82","85.4","78.9",,,"81.2",
"Alvarez, Henderson","506693","94.2","93.7",,"84.2","88.9","77.6",,,,
"González, Miguel","456068","91.5","91.5",,"85.1","84.4","77",,,,
"Garza, Matt","490063","93.2","92.9",,"84.9","86","74.8",,,,
"Iwakuma, Hisashi","547874","90.1","89","87","81.1",,"73.3","84.6",,,
"Correia, Kevin","429781","90.4","90.6","90.6","88","85.8","77.9",,,,
"Morton, Charlie","450203","92.3","91.6",,,,"78.5","84.8",,,
"Estrada, Marco","462136","89.5",,,,"78.5","77.5",,,,
"McHugh, Collin","543521","92.1","92.7","86.5",,"84.3","73.4",,,,
"Jackson, Edwin","429719","93.4","92.9",,"86.3","87","79.6",,,,
"Fister, Doug","450729","88.1","88.4","84.5",,"79.8","73.1",,,,
"Minor, Mike","501985","91.3","90.4",,"85.6","84.7","81.4",,,,
"Duffy, Danny","518633","93.8","93.8",,,"83.5","78.3",,,,
"Morales, Franklin","462985","91.7","92",,"87","83.4","74.5",,,,
"Arrieta, Jake","453562","94.1","94.2","93.4","89.9","87.7","79.7",,,,
"Martinez, Nick","607259","91.8","91.6",,"84.8","83.5","76.5",,,,
"Chavez, Jesse","445926","91.9","91.8","89.3",,"84.9","75.8",,,,
"Ryu, Hyun Jin","547943","91.4","91.4",,"84.9","82.6","72.9",,,,
"Peacock, Brad","502748","92.7","90.9",,"83.1","81.2","76.9",,,"83.7",
"Darvish, Yu","506433","93","92.8","88.7",,,"70.4","86.8",,"79.9",
"Jiménez, Ubaldo","434622","91.3","90.7","91.5","83.1",,"76","83.8",,,
"Bailey, Homer","456701","95","94.6",,"87.7","86.7","80.1",,,,
"Santiago, Héctor","502327","91.2","91.5","86.1","82","83.3","77.2",,,,
"Oberholtzer, Brett","519085","90","90.1",,"82.9","81.1","79.4",,,,
"Masterson, Justin","475416","90.3","89",,"81.3","79.2",,,,,
"deGrom, Jacob","594798","94.2","93.8",,"87.6","84.5","80",,,,
"Cole, Gerrit","543037","96.2","96.1",,"86.3","87.4","83.9",,,,
"Gee, Dillon","518716","89.7","89.9","89","82.6","83.1","74.5",,,,
"Carroll, Scott","453222","90.2","90.2","87.2","82.4","83","77.2",,,,
"Shoemaker, Matt","533167","91.1","91",,"81.8","84.3","76.1",,,,
"Sánchez, Aníbal","434671","92.7","93.3","92.6","87.1","74.7","79.4","87.5",,,
"Lyles, Jordan","543475","92.3","91.4",,"87.6","82.6","81.5",,,,
"Stroman, Marcus","573186","94.4","93.5","91.2","87.8","86.4",,,,,"83.4"
"Tepesch, Nick","519344","90.3","90.5",,"85.5","84.8","78.5",,,,
"Tanaka, Masahiro","547888","92","91","89","83.6",,"73.9","86.8",,,
"Locke, Jeff","502046","90.4","91.1",,,"79.9","78.1",,,,
"Gausman, Kevin","592332","95.4",,,"80.5","85.1",,"83.8",,,
"Carrasco, Carlos","471911","96.1","95.5",,"87.2","89.1","81.9",,,,
"Milone, Tommy","543548","87.1","86.8","85",,"80.6","74.8",,,,
"Phelps, David","475479","90.8","90.7","90.8","87.4","82.6","80.5",,,,
"Beckett, Josh","277417","92.2","92.5","89.9",,"86.1","73.6",,,,
"Anderson, Chase","502624","91.7","91.3",,,"81.7","77.5",,,,
"Salazar, Danny","517593","95.3","94",,"86.6","84.5",,,,,
"Cahill, Trevor","502239","92","90.5",,"86.7","82","78.9",,,,
"Williams, Jerome","425532","91.2","91.9","89.3","82","85.4","77.8",,,,
"Turner, Jacob","545363","92.8","93.2","85.4",,"86.3","78.7",,,,
"Buchanan, David","571527","90.5","90.7","89.2",,"82","77.7",,,,
"Cashner, Andrew","488768","95.6","94.5",,"84.6","85.8","78.2",,,,
"Hand, Brad","543272","93.1","92.7",,,"86.7","79.6",,,,
"Matzek, Tyler","554431","93.3",,,"84.2","89.1","80.1",,,,
"De La Rosa, Rubby","523989","94.7","93.5",,"83.6","86.7","76.1",,,,
"Deduno, Samuel","465679","90.2",,"89.9",,"84.1","81.2",,,,
"Tomlin, Josh","458708","89.6","88.7","85.9",,"82.7","76.3",,,,
"Wacha, Michael","608379","93.9",,"90.2",,"86.4","75",,,,
"Skaggs, Tyler","572140","92.6","92.7",,,"85.1","77.3",,,,
"Petit, Yusmeiro","433589","89.4",,"89.3","84.8","82.7","77.5",,,,
"Capuano, Chris","425626",,"89.9",,"81.8","78.5","75.5",,,,
"Worley, Vance","474699","90","90.2","89.8","84.5","85.3","77.5",,,,
"House, TJ","543334","92.7","91.3",,"84.5","82.5","76.3",,,,
"Kelly, Joe","523260","95.8","95.2",,"86.8","84.5","79.6",,,,
"Torres, Carlos","448614","92.5","91.8","90",,"84.9","79.5",,,,
"Latos, Mat","502009","91","90.2","91.9","87",,"76.7","81.4",,,
"Mejia, Jenrry","516769","93.7","92.6","92.3","85.2","87.7","79.3",,,,
"Nicasio, Juan","504379","93.3","91.8",,"84.9","86",,,,,
"McAllister, Zach","502083","93.8","93","91.4","83.6","81.8","77.8",,,,
"Delgado, Randall","517414","94","92.4",,"84.1","85.2","78.1",,,,
"Cain, Matt","430912","92.3","91.8",,"86.8","86","78.1",,,,
"Matsuzaka, Daisuke","493137","90.9","90.4","89.5","81.2",,"74.9","80.3",,,
"Workman, Brandon","519443","90.8","91.4","86.5",,"85.1","76.8",,,,
"Despaigne, Odrisamer","628333","90.8","91.1","90.7","86.6","74.6","76.5",,,,
"McGowan, Dustin","430661","94.8","94.6",,"88","87.6","81.1",,,,
"Bedard, Erik","407853","88.6","88.8","87.5",,"73","74.2","80.5",,,
"Swarzak, Anthony","461872","92.7","92.7",,"84.8","84",,,,,
"Hale, David","571735","91.6","91.3",,,"80.7","81",,,,
"Doubront, Félix","467094","90.2","90.1","86.2",,"83.6","74.8",,,,
"Betances, Dellin","476454","97.3",,,,,"83.2",,,,"84.6"
"Martinez, Carlos","593372","97.9","96.2",,,"89","86.3",,,,
"Greene, Shane","572888","94.3","93.5",,"87.9","87.3","82.6",,,,
"Ross Jr., Robbie","543726","91.1","91.2","90.8","84.4","85.9","76.4",,,,
"Warren, Adam","476589","95","94.7","93.6","86.6","86.1","81.6",,,,
"Diekman, Jake","518617",,"97.5",,"84.9","87.6",,,,,
